Date,Symbol,Open,High,Low,Close,Volume From,Volume To
735568.0,BTCUSD,300.0,370.0,300.0,370.0,0.05656,19.53
735569.0,BTCUSD,370.0,378.0,370.0,378.0,15.01,5675.07
735570.0,BTCUSD,378.0,378.0,377.01,378.0,0.5466,206.52
735571.0,BTCUSD,378.0,378.0,377.1,377.1,0.01,3.77
735572.0,BTCUSD,377.1,377.1,377.1,377.1,0.0,0.0
735573.0,BTCUSD,377.1,378.0,377.1,378.0,0.015,5.67
735574.0,BTCUSD,378.0,378.0,378.0,378.0,0.0,0.0
735575.0,BTCUSD,378.0,378.0,375.0,375.0,0.235,88.13
735576.0,BTCUSD,375.0,375.0,375.0,375.0,0.0,0.0
735577.0,BTCUSD,375.0,398.0,360.5,360.5,0.02,7.59
735578.0,BTCUSD,360.5,360.5,360.5,360.5,0.0,0.0
735579.0,BTCUSD,360.5,379.0,350.0,350.0,3.15,1115.49
735580.0,BTCUSD,350.0,350.0,350.0,350.0,0.0,0.0
735581.0,BTCUSD,350.0,350.0,350.0,350.0,0.0,0.0
735582.0,BTCUSD,350.0,350.0,350.0,350.0,0.0,0.0
735583.0,BTCUSD,350.0,350.0,350.0,350.0,0.0,0.0
735584.0,BTCUSD,350.0,350.0,350.0,350.0,0.0,0.0
735585.0,BTCUSD,350.0,350.0,340.0,340.0,2.0,685.0
735586.0,BTCUSD,340.0,340.0,340.0,340.0,0.0,0.0
735587.0,BTCUSD,340.0,340.0,340.0,340.0,0.0,0.0
735588.0,BTCUSD,340.0,340.0,340.0,340.0,0.0,0.0
735589.0,BTCUSD,340.0,340.0,340.0,340.0,0.0,0.0
735590.0,BTCUSD,340.0,340.0,340.0,340.0,0.0,0.0
735591.0,BTCUSD,340.0,340.0,340.0,340.0,0.0,0.0
735592.0,BTCUSD,340.0,340.0,340.0,340.0,0.0,0.0
735593.0,BTCUSD,340.0,340.0,340.0,340.0,0.0,0.0
735594.0,BTCUSD,340.0,340.0,340.0,340.0,0.0,0.0
735595.0,BTCUSD,340.0,340.0,340.0,340.0,0.0,0.0
735596.0,BTCUSD,340.0,340.0,340.0,340.0,0.0,0.0
735597.0,BTCUSD,340.0,340.0,340.0,340.0,0.0,0.0
735598.0,BTCUSD,340.0,340.0,340.0,340.0,0.0,0.0
735599.0,BTCUSD,340.0,340.0,340.0,340.0,0.0,0.0
735600.0,BTCUSD,340.0,340.0,340.0,340.0,0.0,0.0
735601.0,BTCUSD,340.0,340.0,340.0,340.0,0.0,0.0
735602.0,BTCUSD,340.0,340.0,340.0,340.0,0.0,0.0
735603.0,BTCUSD,340.0,340.0,340.0,340.0,0.0,0.0
735604.0,BTCUSD,340.0,340.0,340.0,340.0,0.0,0.0
735605.0,BTCUSD,340.0,340.0,340.0,340.0,0.0,0.0
735606.0,BTCUSD,340.0,360.0,264.81,288.99,10.35,3055.55
735607.0,BTCUSD,288.99,288.99,288.99,288.99,0.0,0.0
735608.0,BTCUSD,288.99,288.99,288.99,288.99,0.0,0.0
735609.0,BTCUSD,288.99,288.99,288.99,288.99,0.0,0.0
735610.0,BTCUSD,288.99,288.99,288.99,288.99,0.0,0.0
735611.0,BTCUSD,288.99,288.99,260.0,260.0,1.0,260.0
735612.0,BTCUSD,260.0,260.0,109.87,120.0,11.3,1760.81
735613.0,BTCUSD,120.0,224.0,120.0,211.91,2.87,571.46
735614.0,BTCUSD,211.91,225.5,189.0,199.46,4.8,985.98
735615.0,BTCUSD,199.46,210.0,184.0,184.0,0.11199999999999999,22.25
735616.0,BTCUSD,184.0,184.0,184.0,184.0,0.0,0.0
735617.0,BTCUSD,184.0,225.51,184.0,225.51,0.41,86.26
735618.0,BTCUSD,225.51,225.51,208.0,208.0,0.02,4.23
735619.0,BTCUSD,208.0,225.51,208.0,225.51,0.1577,35.02
735620.0,BTCUSD,225.51,257.73,216.59,226.32,4.36,1000.75
735621.0,BTCUSD,226.32,235.0,215.0,235.0,0.18,41.45
735622.0,BTCUSD,235.0,250.58,215.0,240.0,1.74,431.76
735623.0,BTCUSD,240.0,256.26,240.0,254.53,478.76,120120.06
735624.0,BTCUSD,254.53,322.72,241.43,270.0,5152.24,1439367.1
735625.0,BTCUSD,270.0,278.47,244.03,262.69,1647.55,432840.93
735626.0,BTCUSD,262.69,265.99,228.5,236.14,5160.3,1272214.28
735627.0,BTCUSD,236.14,242.0,221.14,234.52,6661.74,1555210.37
735628.0,BTCUSD,234.52,244.59,227.89,232.55,5699.69,1333424.96
735629.0,BTCUSD,232.55,234.67,217.11,219.0,5569.26,1273921.59
735630.0,BTCUSD,219.0,233.79,210.0,227.0,7401.43,1640635.74
735631.0,BTCUSD,227.0,240.1,220.89,237.79,7156.24,1630984.85
735632.0,BTCUSD,237.79,243.9,225.32,228.31,8565.02,2029168.44
735633.0,BTCUSD,228.31,230.99,221.5,226.5,9103.19,2058675.85
735634.0,BTCUSD,226.5,228.9,215.0,216.0,7522.28,1663849.23
735635.0,BTCUSD,216.0,226.64,216.0,222.82,5638.26,1247408.29
735636.0,BTCUSD,222.82,230.5,222.44,228.7,4220.38,957152.99
735637.0,BTCUSD,228.7,231.6,220.0,224.16,4253.06,958535.01
735638.0,BTCUSD,224.16,225.0,216.45,222.19,6525.33,1442999.31
735639.0,BTCUSD,222.19,222.64,215.0,220.84,5450.37,1193027.11
735640.0,BTCUSD,220.84,223.61,217.46,220.02,8877.19,1964602.47
735641.0,BTCUSD,220.02,224.61,218.0,222.45,7850.44,1733740.77
735642.0,BTCUSD,222.45,242.36,221.55,236.65,15260.16,3572659.33
735643.0,BTCUSD,236.65,259.98,236.08,257.48,14942.09,3713770.11
735644.0,BTCUSD,257.48,267.86,228.0,234.0,17339.11,4288626.87
735645.0,BTCUSD,234.0,241.0,229.6,236.82,10342.88,2433600.57
735646.0,BTCUSD,236.82,248.0,233.0,244.0,16360.49,3936010.98
735647.0,BTCUSD,244.0,246.0,231.93,235.91,13453.31,3226055.9
735648.0,BTCUSD,235.91,245.0,235.58,242.42,9123.0,2185101.18
735649.0,BTCUSD,242.42,248.32,239.99,245.89,9809.26,2394824.82
735650.0,BTCUSD,245.54,248.12,244.0,245.86,4106.15,1008277.92
