Date,Close
18/07/10 00:00,0.09
19/07/10 00:00,0.08
20/07/10 00:00,0.07
21/07/10 00:00,0.08
22/07/10 00:00,0.05
23/07/10 00:00,0.06
24/07/10 00:00,0.05
25/07/10 00:00,0.05
26/07/10 00:00,0.06
27/07/10 00:00,0.06
28/07/10 00:00,0.06
29/07/10 00:00,0.07
30/07/10 00:00,0.06
31/07/10 00:00,0.07
01/08/10 00:00,0.06
02/08/10 00:00,0.06
03/08/10 00:00,0.06
04/08/10 00:00,0.06
05/08/10 00:00,0.06
06/08/10 00:00,0.06
07/08/10 00:00,0.06
08/08/10 00:00,0.06
09/08/10 00:00,0.07
10/08/10 00:00,0.07
11/08/10 00:00,0.07
12/08/10 00:00,0.07
13/08/10 00:00,0.06
14/08/10 00:00,0.07
15/08/10 00:00,0.07
16/08/10 00:00,0.07
17/08/10 00:00,0.07
18/08/10 00:00,0.07
19/08/10 00:00,0.07
20/08/10 00:00,0.07
21/08/10 00:00,0.07
22/08/10 00:00,0.07
23/08/10 00:00,0.06
24/08/10 00:00,0.06
25/08/10 00:00,0.06
26/08/10 00:00,0.06
27/08/10 00:00,0.06
28/08/10 00:00,0.06
29/08/10 00:00,0.06
30/08/10 00:00,0.06
31/08/10 00:00,0.06
01/09/10 00:00,0.06
02/09/10 00:00,0.06
03/09/10 00:00,0.06
04/09/10 00:00,0.06
05/09/10 00:00,0.06
06/09/10 00:00,0.06
07/09/10 00:00,0.06
08/09/10 00:00,0.06
09/09/10 00:00,0.06
10/09/10 00:00,0.06
11/09/10 00:00,0.06
12/09/10 00:00,0.06
13/09/10 00:00,0.06
14/09/10 00:00,0.06
15/09/10 00:00,0.06
16/09/10 00:00,0.06
17/09/10 00:00,0.06
18/09/10 00:00,0.06
19/09/10 00:00,0.06
20/09/10 00:00,0.06
21/09/10 00:00,0.06
22/09/10 00:00,0.06
23/09/10 00:00,0.06
24/09/10 00:00,0.06
25/09/10 00:00,0.06
26/09/10 00:00,0.06
27/09/10 00:00,0.06
28/09/10 00:00,0.06
29/09/10 00:00,0.06
30/09/10 00:00,0.06
01/10/10 00:00,0.06
02/10/10 00:00,0.06
03/10/10 00:00,0.06
04/10/10 00:00,0.06
05/10/10 00:00,0.06
06/10/10 00:00,0.06
07/10/10 00:00,0.07
08/10/10 00:00,0.09
09/10/10 00:00,0.09
10/10/10 00:00,0.1
11/10/10 00:00,0.09
12/10/10 00:00,0.09
13/10/10 00:00,0.1
14/10/10 00:00,0.1
15/10/10 00:00,0.1
16/10/10 00:00,0.1
17/10/10 00:00,0.1
18/10/10 00:00,0.1
19/10/10 00:00,0.1
20/10/10 00:00,0.1
21/10/10 00:00,0.11
22/10/10 00:00,0.1
23/10/10 00:00,0.11
24/10/10 00:00,0.11
25/10/10 00:00,0.13
26/10/10 00:00,0.15
27/10/10 00:00,0.19
28/10/10 00:00,0.17
29/10/10 00:00,0.19
30/10/10 00:00,0.2
31/10/10 00:00,0.19
01/11/10 00:00,0.2
02/11/10 00:00,0.19
03/11/10 00:00,0.19
04/11/10 00:00,0.23
05/11/10 00:00,0.26
06/11/10 00:00,0.39
07/11/10 00:00,0.34
08/11/10 00:00,0.24
09/11/10 00:00,0.21
10/11/10 00:00,0.24
11/11/10 00:00,0.22
12/11/10 00:00,0.27
13/11/10 00:00,0.28
14/11/10 00:00,0.28
15/11/10 00:00,0.27
16/11/10 00:00,0.22
17/11/10 00:00,0.23
18/11/10 00:00,0.27
19/11/10 00:00,0.28
20/11/10 00:00,0.28
21/11/10 00:00,0.28
22/11/10 00:00,0.29
23/11/10 00:00,0.28
24/11/10 00:00,0.28
25/11/10 00:00,0.28
26/11/10 00:00,0.28
27/11/10 00:00,0.28
28/11/10 00:00,0.27
29/11/10 00:00,0.23
30/11/10 00:00,0.21
01/12/10 00:00,0.23
02/12/10 00:00,0.25
03/12/10 00:00,0.25
04/12/10 00:00,0.2
05/12/10 00:00,0.19
06/12/10 00:00,0.2
07/12/10 00:00,0.23
08/12/10 00:00,0.24
09/12/10 00:00,0.2
10/12/10 00:00,0.2
11/12/10 00:00,0.23
12/12/10 00:00,0.22
13/12/10 00:00,0.23
14/12/10 00:00,0.25
15/12/10 00:00,0.24
16/12/10 00:00,0.25
17/12/10 00:00,0.24
18/12/10 00:00,0.24
19/12/10 00:00,0.24
20/12/10 00:00,0.27
21/12/10 00:00,0.24
22/12/10 00:00,0.25
23/12/10 00:00,0.25
24/12/10 00:00,0.25
25/12/10 00:00,0.25
26/12/10 00:00,0.26
27/12/10 00:00,0.26
28/12/10 00:00,0.28
29/12/10 00:00,0.3
30/12/10 00:00,0.3
31/12/10 00:00,0.3
01/01/11 00:00,0.3
02/01/11 00:00,0.3
03/01/11 00:00,0.29
04/01/11 00:00,0.3
05/01/11 00:00,0.3
06/01/11 00:00,0.3
07/01/11 00:00,0.32
08/01/11 00:00,0.32
09/01/11 00:00,0.32
10/01/11 00:00,0.33
11/01/11 00:00,0.33
12/01/11 00:00,0.32
13/01/11 00:00,0.32
14/01/11 00:00,0.4
15/01/11 00:00,0.39
16/01/11 00:00,0.39
17/01/11 00:00,0.35
18/01/11 00:00,0.31
19/01/11 00:00,0.31
20/01/11 00:00,0.39
21/01/11 00:00,0.42
22/01/11 00:00,0.44
23/01/11 00:00,0.44
24/01/11 00:00,0.42
25/01/11 00:00,0.41
26/01/11 00:00,0.42
27/01/11 00:00,0.42
28/01/11 00:00,0.45
29/01/11 00:00,0.44
30/01/11 00:00,0.48
31/01/11 00:00,0.52
01/02/11 00:00,0.7
02/02/11 00:00,0.72
03/02/11 00:00,0.69
04/02/11 00:00,0.81
05/02/11 00:00,0.92
06/02/11 00:00,0.9
07/02/11 00:00,0.89
08/02/11 00:00,0.92
09/02/11 00:00,1.09
10/02/11 00:00,0.98
11/02/11 00:00,1.07
12/02/11 00:00,1.08
13/02/11 00:00,1.05
14/02/11 00:00,1.07
15/02/11 00:00,1.05
16/02/11 00:00,1.04
17/02/11 00:00,1.04
18/02/11 00:00,0.9
19/02/11 00:00,0.95
20/02/11 00:00,0.85
21/02/11 00:00,0.83
22/02/11 00:00,0.87
23/02/11 00:00,0.9
24/02/11 00:00,1
25/02/11 00:00,0.91
26/02/11 00:00,0.96
27/02/11 00:00,0.89
28/02/11 00:00,0.86
01/03/11 00:00,0.92
02/03/11 00:00,0.94
03/03/11 00:00,0.94
04/03/11 00:00,0.9
05/03/11 00:00,0.91
06/03/11 00:00,0.9
07/03/11 00:00,0.88
08/03/11 00:00,0.87
09/03/11 00:00,0.86
10/03/11 00:00,0.93
11/03/11 00:00,0.88
12/03/11 00:00,0.92
13/03/11 00:00,0.89
14/03/11 00:00,0.89
15/03/11 00:00,0.87
16/03/11 00:00,0.86
17/03/11 00:00,0.83
18/03/11 00:00,0.82
19/03/11 00:00,0.76
20/03/11 00:00,0.74
21/03/11 00:00,0.76
22/03/11 00:00,0.81
23/03/11 00:00,0.85
24/03/11 00:00,0.87
25/03/11 00:00,0.88
26/03/11 00:00,0.86
27/03/11 00:00,0.82
28/03/11 00:00,0.8
29/03/11 00:00,0.79
30/03/11 00:00,0.79
31/03/11 00:00,0.78
01/04/11 00:00,0.77
02/04/11 00:00,0.78
03/04/11 00:00,0.78
04/04/11 00:00,0.68
05/04/11 00:00,0.71
06/04/11 00:00,0.74
07/04/11 00:00,0.75
08/04/11 00:00,0.75
09/04/11 00:00,0.73
10/04/11 00:00,0.74
11/04/11 00:00,0.77
12/04/11 00:00,0.86
13/04/11 00:00,0.92
14/04/11 00:00,1
15/04/11 00:00,0.99
16/04/11 00:00,1.05
17/04/11 00:00,1.11
18/04/11 00:00,1.16
19/04/11 00:00,1.2
20/04/11 00:00,1.14
21/04/11 00:00,1.21
22/04/11 00:00,1.41
23/04/11 00:00,1.7
24/04/11 00:00,1.63
25/04/11 00:00,1.56
26/04/11 00:00,1.79
27/04/11 00:00,1.9
28/04/11 00:00,2.21
29/04/11 00:00,2.88
30/04/11 00:00,3.5
01/05/11 00:00,3.03
02/05/11 00:00,3.2
03/05/11 00:00,3.41
04/05/11 00:00,3.41
05/05/11 00:00,3.33
06/05/11 00:00,3.45
07/05/11 00:00,3.64
08/05/11 00:00,3.87
09/05/11 00:00,3.8
10/05/11 00:00,5.81
11/05/11 00:00,5.5
12/05/11 00:00,6.3
13/05/11 00:00,8.2
14/05/11 00:00,7.2
15/05/11 00:00,6.99
16/05/11 00:00,8.03
17/05/11 00:00,7.19
18/05/11 00:00,6.88
19/05/11 00:00,6.8
20/05/11 00:00,5.59
21/05/11 00:00,6.12
22/05/11 00:00,6.69
23/05/11 00:00,7.15
24/05/11 00:00,7.42
25/05/11 00:00,8.4
26/05/11 00:00,8.8
27/05/11 00:00,8.5
28/05/11 00:00,8.3
29/05/11 00:00,8.43
30/05/11 00:00,8.8
31/05/11 00:00,8.74
01/06/11 00:00,9.57
02/06/11 00:00,10.6
03/06/11 00:00,14.29
04/06/11 00:00,18.89
05/06/11 00:00,16.7
06/06/11 00:00,18.55
07/06/11 00:00,23.92
08/06/11 00:00,29.6
09/06/11 00:00,28.92
10/06/11 00:00,23.95
11/06/11 00:00,14.65
12/06/11 00:00,18.55
13/06/11 00:00,19.84
14/06/11 00:00,19.28
15/06/11 00:00,19.49
16/06/11 00:00,17
17/06/11 00:00,15.68
18/06/11 00:00,16.89
19/06/11 00:00,17.51
20/06/11 00:00,17.51
21/06/11 00:00,17.51
22/06/11 00:00,17.51
23/06/11 00:00,17.51
24/06/11 00:00,17.51
25/06/11 00:00,17.51
26/06/11 00:00,16.45
27/06/11 00:00,16.75
28/06/11 00:00,16.95
29/06/11 00:00,16.84
30/06/11 00:00,16.1
01/07/11 00:00,15.4
02/07/11 00:00,15.4
03/07/11 00:00,15.44
04/07/11 00:00,13.86
05/07/11 00:00,12.91
06/07/11 00:00,14.78
07/07/11 00:00,14.78
08/07/11 00:00,14.31
09/07/11 00:00,14.38
10/07/11 00:00,14.9
11/07/11 00:00,14.21
12/07/11 00:00,14.01
13/07/11 00:00,13.95
14/07/11 00:00,13.99
15/07/11 00:00,13.81
16/07/11 00:00,13.72
17/07/11 00:00,13.16
18/07/11 00:00,13.48
19/07/11 00:00,13.85
20/07/11 00:00,13.69
21/07/11 00:00,13.61
22/07/11 00:00,13.7
23/07/11 00:00,13.68
24/07/11 00:00,13.98
25/07/11 00:00,14.05
26/07/11 00:00,13.88
27/07/11 00:00,13.94
28/07/11 00:00,13.49
29/07/11 00:00,13.5
30/07/11 00:00,13.53
31/07/11 00:00,13.35
01/08/11 00:00,13.09
02/08/11 00:00,12.05
03/08/11 00:00,9.26
04/08/11 00:00,10.75
05/08/11 00:00,9.8
06/08/11 00:00,6.55
07/08/11 00:00,7.9
08/08/11 00:00,7.8
09/08/11 00:00,9.99
10/08/11 00:00,9.98
11/08/11 00:00,9.46
12/08/11 00:00,9.46
13/08/11 00:00,10.13
14/08/11 00:00,10.8
15/08/11 00:00,11.15
16/08/11 00:00,10.96
